Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
37,GBFS,h5,7,939,2.395056725
37,A/A*,h1,5,963,23.0513792
37,A/A*,h2,5,963,22.20500016
37,A/A*,h3,5,139,0.938778877
37,A/A*,h4,5,184,1.362035036
37,A/A*,h5,6,832,23.51242518
38,UCS,NA,3,129,3.791486025
38,GBFS,h1,3,74,0.194581985
38,GBFS,h2,3,74,0.194001198
38,GBFS,h3,3,74,0.204734087
38,GBFS,h4,3,76,0.235170841
38,GBFS,h5,4,128,0.414381981
38,A/A*,h1,3,90,1.682304144
38,A/A*,h2,3,90,1.744825125
38,A/A*,h3,3,52,0.418813944
38,A/A*,h4,3,74,0.989441872
38,A/A*,h5,3,64,1.337884188
39,UCS,NA,5,9285,477.3509512
39,GBFS,h1,5,156,0.251300812
39,GBFS,h2,5,156,0.254937887
39,GBFS,h3,5,156,0.267418146
39,GBFS,h4,5,95,0.202732801
39,GBFS,h5,7,1684,2.903244019
39,A/A*,h1,5,1415,27.1923089
39,A/A*,h2,5,1415,27.26134706
39,A/A*,h3,5,129,0.686132908
39,A/A*,h4,5,249,1.690552235
39,A/A*,h5,6,2348,59.86810422
40,UCS,NA,6,2474,163.9733179
40,GBFS,h1,6,674,1.463148832
40,GBFS,h2,6,674,1.463709831
40,GBFS,h3,6,674,1.540502071
40,GBFS,h4,7,194,0.491147995
40,GBFS,h5,7,11413,34.40430784
40,A/A*,h1,6,1254,33.26790786
40,A/A*,h2,6,1254,31.67469597
40,A/A*,h3,6,375,3.717578888
40,A/A*,h4,6,345,3.949095011
40,A/A*,h5,6,1744,75.90952015
41,UCS,NA,3,849,24.80229807
41,GBFS,h1,3,177,0.20990181
41,GBFS,h2,3,177,0.208199024
41,GBFS,h3,3,177,0.218411922
41,GBFS,h4,3,177,0.256402016
41,GBFS,h5,4,203,0.343885899
41,A/A*,h1,3,247,3.005805016
41,A/A*,h2,3,247,2.717169046
41,A/A*,h3,3,123,0.735023975
41,A/A*,h4,3,127,0.826039791
41,A/A*,h5,3,259,4.078814983
42,UCS,NA,24,3500,326.6288359
42,GBFS,h1,29,17578,71.54565191
42,GBFS,h2,29,17578,70.28315306
42,GBFS,h3,29,17578,70.72121191
42,GBFS,h4,30,16970,79.87645578
42,GBFS,h5,26,18694,89.79367089
42,A/A*,h1,24,3039,193.1966779
42,A/A*,h2,24,3039,193.3684211
42,A/A*,h3,26,3497,154.563477
42,A/A*,h4,25,2529,160.3870721
42,A/A*,h5,25,3004,228.6150129
43,UCS,NA,5,1145,60.99036217
43,GBFS,h1,5,76,0.233917952
43,GBFS,h2,5,76,0.220667839
43,GBFS,h3,5,76,0.223396063
43,GBFS,h4,5,67,0.238507032
43,GBFS,h5,7,159,0.645840168
43,A/A*,h1,5,392,7.95521307
43,A/A*,h2,5,392,7.850309134
43,A/A*,h3,5,65,0.493678093
43,A/A*,h4,5,72,0.621643066
43,A/A*,h5,6,425,12.19232893
44,UCS,NA,3,380,17.096663
44,GBFS,h1,3,72,0.245886803
44,GBFS,h2,3,72,0.232541084
44,GBFS,h3,3,72,0.235851049
44,GBFS,h4,3,72,0.281570911
44,GBFS,h5,4,76,0.353071928
44,A/A*,h1,3,153,2.70927
44,A/A*,h2,3,153,2.660336971
44,A/A*,h3,3,56,0.494705915
44,A/A*,h4,3,70,0.710793972
44,A/A*,h5,3,147,3.382628202
45,UCS,NA,4,3184,161.226913
45,GBFS,h1,4,221,0.399492979
45,GBFS,h2,4,221,0.373612165
45,GBFS,h3,4,221,0.388005972
45,GBFS,h4,5,188,0.374627113
45,GBFS,h5,5,1280,2.61312604
45,A/A*,h1,4,621,12.15486097
45,A/A*,h2,4,621,11.53889799
45,A/A*,h3,4,157,1.081259012
45,A/A*,h4,4,271,2.832759857
45,A/A*,h5,4,1260,36.00988436
