3 3 0 GHHHLFGBEELFDBAALFDB.......KK...IICC I98 C98 F7
3 3 0 .HHHL.GBEEL.GBAALFDB...FD..KKFIICC.. G5 D99 F7
3 3 0 GHHHL.GBEEL..BAALFDB...FD.KK.FIICC.. K99 D99 F7
3 3 0 GHHHL.GBEEL..BAALFDB...FDKK..FIICC.. K98 D99 F7
3 3 0 GHHHL.GBEEL..BAALFDB...FD..KKFII.CC. C99 D99 F7
3 3 0 GHHHL.GBEEL..BAALFDB...FD..KKFII..CC C98 D99 F7
3 3 0 GHHH..GBEE..DBAALFDB..LF..KKLFIICC.. L98 K99 F7
3 3 0 GHHH..GBEE..DBAA.FDB..LF..KKLFIICCL. L97 K99 F7
3 3 0 GHHHL.GBEEL.DBAALFDB...F..KK.FII.CC. C99 K99 F7
3 3 0 GHHHL.GBEEL.DBAALFDB...F..KK.FII..CC C98 K99 F7
3 3 0 GHHH..GBEE..DBAALFDB..LF.KK.LFIICC.. L98 K98 F7
3 3 0 GHHH..GBEE..DBAA.FDB..LF.KK.LFIICCL. L97 K98 F7
3 3 0 GHHHL.GBEEL.DBAALFDB...F.KK..FII.CC. C99 K98 F7
3 3 0 GHHHL.GBEEL.DBAALFDB...F.KK..FII..CC C98 K98 F7
3 3 0 GHHH..GBEE..DBAALFDB..LFKK..LFIICC.. L98 K97 F7
3 3 0 GHHH..GBEE..DBAA.FDB..LFKK..LFIICCL. L97 K97 F7
3 3 0 GHHHL.GBEEL.DBAALFDB...FKK...FII.CC. C99 K97 F7
3 3 0 GHHHL.GBEEL.DBAALFDB...FKK...FII..CC C98 K97 F7
3 3 0 GHHHL.GBEEL.DBAALFDB...F...KKF.IICC. I99 C99 F7
3 3 0 GHHHL.GBEEL.DBAALFDB...F...KKF.II.CC I99 C98 F7
3 3 0 GHHHL.GBEEL.DBAALFDB...F...KKF..IICC I98 C98 F7
3 3 0 .HHHL.GBEEL.GBAAL.DB...FD..KKFIICC.F G5 D99 F6
3 3 0 GHHHL.GBEEL..BAAL.DB...FD.KK.FIICC.F K99 D99 F6
3 3 0 GHHHL.GBEEL..BAAL.DB...FDKK..FIICC.F K98 D99 F6
3 3 0 GHHHL.GBEEL..BAAL.DB...FD..KKFII.CCF C99 D99 F6
3 3 0 GHHH..GBEE..DBAAL.DB..LF..KKLFIICC.F L98 K99 F6
3 3 0 GHHH..GBEE..DBAA..DB..LF..KKLFIICCLF L97 K99 F6
3 3 0 GHHHL.GBEEL.DBAAL.DB...F..KK.FII.CCF C99 K99 F6
3 3 0 GHHH..GBEE..DBAAL.DB..LF.KK.LFIICC.F L98 K98 F6
3 3 0 GHHH..GBEE..DBAA..DB..LF.KK.LFIICCLF L97 K98 F6
3 3 0 GHHHL.GBEEL.DBAAL.DB...F.KK..FII.CCF C99 K98 F6
3 3 0 GHHH..GBEE..DBAAL.DB..LFKK..LFIICC.F L98 K97 F6
3 3 0 GHHH..GBEE..DBAA..DB..LFKK..LFIICCLF L97 K97 F6
3 3 0 GHHHL.GBEEL.DBAAL.DB...FKK...FII.CCF C99 K97 F6
3 3 0 GHHHL.GBEEL.DBAAL.DB...F...KKF.IICCF I99 C99 F6
3 3 0 HHH.L.GBEELFGBAALFDB...FD..KK.IICC.. H99 G5 D99
3 3 0 .HHHL.GBEELFGBAALFDB...FD.KK..IICC.. K99 G5 D99
3 3 0 .HHHL.GBEELFGBAALFDB...FDKK...IICC.. K98 G5 D99
3 3 0 .HHHL.GBEELFGBAALFDB...FD...KKIICC.. K99 G5 D99
3 3 0 .HHHL.GBEELFGBAALFDB...FD..KK.II.CC. C99 G5 D99
3 3 0 .HHHL.GBEELFGBAALFDB...FD..KK.II..CC C98 G5 D99
3 3 0 GHHH..GBEE.F.BAALFDB..LFD.KKL.IICC.. L98 K99 D99
3 3 0 GHHH..GBEE.F.BAA.FDB..LFD.KKL.IICCL. L97 K99 D99
3 3 0 GHHHL.GBEELF.BAALFDB...FD.KK..II.CC. C99 K99 D99
3 3 0 GHHHL.GBEELF.BAALFDB...FD.KK..II..CC C98 K99 D99
3 3 0 GHHH..GBEE.F.BAALFDB..LFDKK.L.IICC.. L98 K98 D99
3 3 0 GHHH..GBEE.F.BAA.FDB..LFDKK.L.IICCL. L97 K98 D99
3 3 0 GHHHL.GBEELF.BAALFDB...FDKK...II.CC. C99 K98 D99
3 3 0 GHHHL.GBEELF.BAALFDB...FDKK...II..CC C98 K98 D99
3 3 0 GHHHL.GBEELF.BAALFDB...FD...KKII.CC. C99 K99 D99
