4 0 4 .MMM....IIIKAAFGGK..F..HLLLD.HBBBD.. D99 B99 K99 H99
4 0 4 ...MMM..IIIKAAF..K..FD.HLLLD.H.BBB.. M98 K99 G99 H99
4 0 4 .MMM....IIIKAAFGG...FD.HLLLD.H.BBB.. G98 K99 G99 H99
4 0 4 .MMM....IIIKAAFD.K..FD.HLLL..H.BBB.. D99 K99 G99 H99
4 0 4 .MMM....IIIKAAF..K..FD.HLLLD.HBBB... B99 K99 G99 H99
4 0 4 .MMM....IIIKAAF..K..FD.HLLLD.H..BBB. B99 K99 G99 H99
4 0 4 .MMM....IIIKAAF..K..FD.HLLLD.H...BBB B98 K99 G99 H99
4 0 4 .MMM.K..IIIKAAFGG...FD.HLLLD...BBB.. G98 H98 G99 H99
4 0 4 .MMM.K..IIIKAAFD.H..FD.HLLL....BBB.. D99 H98 G99 H99
4 0 4 .MMM.K..IIIKAAF..H..FD.HLLLD..BBB... B99 H98 G99 H99
4 0 4 .MMM.K..IIIKAAF..H..FD.HLLLD....BBB. B99 H98 G99 H99
4 0 4 .MMM.K..IIIKAAF..H..FD.HLLLD.....BBB B98 H98 G99 H99
4 0 4 .MMM.K..IIIKAAFD....FD.H.LLL.H.BBB.. L99 D99 G99 H99
4 0 4 .MMM.K..IIIKAAFD....FD.H..LLLH.BBB.. L98 D99 G99 H99
4 0 4 .MMM.K..IIIKAAFD....FD.HLLL..HBBB... B99 D99 G99 H99
4 0 4 .MMM.K..IIIKAAFD....FD.HLLL..H..BBB. B99 D99 G99 H99
4 0 4 .MMM.K..IIIKAAFD....FD.HLLL..H...BBB B98 D99 G99 H99
4 0 4 .MMM.K..IIIKAAF.....F..HLLLD.HBBBD.. D99 B99 G99 H99
4 0 4 ...MMM..IIIKAAFGGK..FD..LLLD.HBBB..H B99 M98 K99 H98
4 0 4 ...MMM..IIIKAAFGGK..FD..LLLD.H..BBBH B99 M98 K99 H98
4 0 4 .MMM....IIIKAAFGGK..F...LLLD.HBBBD.H D99 B99 K99 H98
4 0 4 ...MMM...IIIAAFGGK..FD.KLLLD.H.BBB.H I99 M98 K98 H98
4 0 4 ...MMM..III.AAFGGK..FD.KLLLD.HBBB..H B99 M98 K98 H98
